URL,講義コード,講義名称,学則科目名称,校地,代表教員,科目群,科目コード,授業実践言語,開講時期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4934000&P2=2025&P3=20250401,I4934000,AI/人を対象とした研究倫理Ⅰ,AI/人を対象とした研究倫理Ⅰ,石川,長谷川　忍,情報科学系科目（石川）,I493,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4720000&P2=2025&P3=20250401,I4720000,IoT技術特論,IoT技術特論,石川,,情報科学系科目（石川）,I472,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I1111000&P2=2025&P3=20250401,I1111000,アルゴリズムとデータ構造,アルゴリズムとデータ構造,石川,池田　心,情報科学系科目（石川）,I111,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2331000&P2=2025&P3=20250401,I2331000,オペレーティングシステム特論,オペレーティングシステム特論,石川,宇多　仁,情報科学系科目（石川）,I233,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2351000&P2=2025&P3=20250401,I2351000,ゲーム情報学特論,ゲーム情報学特論,石川,池田　心,情報科学系科目（石川）,I235,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2262000&P2=2025&P3=20250401,I2262000,コンピュータネットワーク特論,コンピュータネットワーク特論,石川,丹　康雄,情報科学系科目（石川）,I226,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I242EJ00&P2=2025&P3=20250401,I242EJ00,サイバーセキュリティ演習(EJ),サイバーセキュリティ演習(E),石川,,情報科学系科目（石川）,I242EJ,日本語/英語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I241EJ00&P2=2025&P3=20250401,I241EJ00,サイバーセキュリティ特論(EJ),サイバーセキュリティ特論(E),石川,,情報科学系科目（石川）,I241EJ,日本語/英語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2141000&P2=2025&P3=20250401,I2141000,システム最適化,システム最適化,石川,平石　邦彦,情報科学系科目（石川）,I214,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4274000&P2=2025&P3=20250401,I4274000,システム制御理論,システム制御理論,石川,浅野　文彦,情報科学系科目（石川）,I427,日本語,2の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4780000&P2=2025&P3=20250401,I4780000,システム開発管理,システム開発管理,石川,,情報科学系科目（石川）,I478,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4831000&P2=2025&P3=20250401,I4831000,スマート組込みシステム開発演習,スマート組込みシステム開発演習,石川,"SIOUTIS, Marios",情報科学系科目（石川）,I483,日本語,1の1期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4430000&P2=2025&P3=20250401,I4430000,ソフトウェア検証論,ソフトウェア検証論,石川,,情報科学系科目（石川）,I443,日本語,非開講
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I2192000&P2=2025&P3=20250401,I2192000,ソフトウェア設計論,ソフトウェア設計論,石川,青木　利晃,情報科学系科目（石川）,I219,日本語,1の2期
https://syllabus.jaist.ac.jp/public/web/Syllabus/WebSyllabusSansho/UI/WSL_SyllabusSansho.aspx?P1=I4680000&P2=2025&P3=20250401,I4680000,ダイナミクスのモデリング,ダイナミクスのモデリング,石川,,情報科学系科目（石川）,I468,日本語,非開講
